社内品番,日付,ライン,品名,面取計画,面取生産数,面取不良,SW計画,SW生産数,SW不良,シフト,残業,段取,修理,調整,チョコ停,休憩,停止時間,作業すべき時間,作業時間,稼働率,作業率,生産総数,能率
92181,4/1,面取01,050D CTR,,,,"2,505","2,505",,9.57,,,,,,0.33,,9.23 ,9.23 ,38%,100.00%,"2,505",271.3
92131,4/1,面取01,032D CTR,,,,"1,450","1,450",,5.50,,,,,,0.17,,5.33 ,5.33 ,22%,100.00%,"1,450",271.8
90931,4/1,面取02,NB8 EURO,"2,091","2,091",,,,,5.67,,,,,,0.17,,5.50 ,5.50 ,23%,100.00%,"2,091",380.2
92841,4/1,面取02,C53L 27MY,944,944,,,,,2.57,,,,,,0.17,,2.40 ,2.40 ,10%,100.00%,944,393.3
92201,4/1,面取03,970B 3RD,,,,"2,818","2,818",,11.53,,,,,,0.50,,11.03 ,11.03 ,46%,100.00%,"2,818",255.4
92561,4/1,面取05,P13C FR SPK,,,,"2,499","2,499",,10.92,,,,,,0.50,,10.42 ,10.42 ,43%,100.00%,"2,499",239.9
91111,4/1,面取05,TTA,,,,846,846,,3.62,,,,,,0.17,,3.45 ,3.45 ,14%,100.00%,846,245.2
92601,4/1,面取07,554D SD,,,,"3,277","3,277",,12.00,,,,,,0.50,,11.50 ,11.50 ,48%,100.00%,"3,277",285.0
92221,4/1,面取09,900B FR,"3,866","3,866",,,,,7.83,,,,,,0.33,,7.50 ,7.50 ,31%,100.00%,"3,866",515.5
91441,4/1,面取10,400B FR,"3,812","3,812",,,,,8.17,,,,,,0.33,,7.83 ,7.83 ,33%,100.00%,"3,812",486.7
92131,4/2,面取01,032D CTR,,,,"4,087","4,062",25,15.72,,,,,,0.67,,15.05 ,15.05 ,63%,100.00%,"4,062",269.9
92841,4/2,面取02,C53L 27MY,967,967,,,,,2.67,,,,,,0.17,,2.50 ,2.50 ,10%,100.00%,967,386.8
92201,4/2,面取03,970B 3RD,,,,100,100,,0.37,,,,,,,,0.37 ,0.37 ,2%,100.00%,100,273.2
91441,4/2,面取03,400B FR,,,,"3,296","3,296",,13.27,,,,,,0.50,,12.77 ,12.77 ,53%,100.00%,"3,296",258.2
