社内品番,日付,ライン,品名,計画数,生産数,差異,シフト,休憩,段取,修理,鋸刃交換,ロス停止昼,ロス時間夜,見えないロス停止,計画停止時間,作業すべき時間,作業時間,稼働率,作業率,生産総数,能率,設備記録時間１,設備記録時間2,60,,,実記録切断,差異,実記録面取,差異,面取段取り,,成形加工日
91931,4/1,切断01,670B 3RD SIDE,226,226,,1.83,,,,,,,0.01,1.33,0.50 ,0.50 ,2.08%,100.00%,226,452.0,,29.38,0.49,,,,,,,,,
92111,4/1,切断01,990B RR,"2,282","2,282",,4.67,,0.08,,,,,-0.17,0.25,4.42 ,4.33 ,18.40%,98.12%,"2,282",526.7,,270.13,4.50,,,,,,,,,
92111,4/1,切断01,990B RR,"2,282","2,282",,4.90,,,,0.25,,,0.13,,4.90 ,4.65 ,20.42%,94.90%,"2,282",490.8,,271.41,4.52,,,,,,,,,
91681,4/1,切断01,D54L RR,"2,400","2,400",,5.07,,0.13,,,,0.33,0.28,,5.07 ,4.60 ,21.11%,90.80%,"2,400",521.7,,259,4.32,,,,,,,,,
91681,4/1,切断01,D54L RR,"2,400","2,400",,5.62,,,,0.25,,0.25,0.55,,5.62 ,5.12 ,23.40%,91.10%,"2,400",469.1,,274.21,4.57,,,,,,,,,
91681,4/1,切断01,D54L RR,830,830,,1.92,,0.08,,,,,0.26,,1.92 ,1.83 ,7.98%,95.67%,830,452.8,,94.18,1.57,,,,,,,,,
91441,4/1,切断02,400B FR,"1,326","1,326",,4.08,,,,,,,0.48,1.33,2.75 ,2.75 ,11.46%,100.00%,"1,326",482.2,,135.96,2.27,,,,,,,,,
92221,4/1,切断02,900B FR,"2,282","2,282",,5.25,,,,0.25,0.42,,0.56,0.25,5.00 ,4.33 ,20.83%,86.68%,"2,282",526.5,,226.6,3.78,,,,,,,,,
92221,4/1,切断02,900B FR,"2,282","2,282",,5.38,,,,0.50,,0.50,0.58,,5.38 ,4.38 ,22.43%,81.42%,"2,282",520.6,,227.96,3.80,,,,,,,,,
92431,4/1,切断02,410D RR,"2,934","2,934",,6.47,,0.20,,0.25,0.55,,0.57,,6.47 ,5.47 ,26.94%,84.53%,"2,934",536.8,,293.48,4.89,,,,,,,,,
92431,4/1,切断02,410D RR,"1,344","1,344",,2.82,,0.08,,0.50,,,0.00,,2.82 ,2.23 ,11.73%,79.30%,"1,344",601.9,,133.68,2.23,,,,,,,,,
92381,4/1,切断03,5A45 X1,548,548,,2.67,,,,,,,0.10,1.33,1.33 ,1.33 ,5.55%,100.00%,548,411.1,,73.76,1.23,,,,,,,,,
92381,4/1,切断03,5A45 X1,"2,500","2,500",,5.83,,,,0.25,,,-0.27,0.25,5.58 ,5.33 ,23.26%,95.52%,"2,500",468.8,,336.23,5.60,,,,,,,,,
