社内品番,日付,ライン,品名,生産計画数,生産数,不良数,シフト,残業,段取,修理,調整,休憩,対応待ち（残業中未復旧）,停止時間(計画停止),作業すべき時間,作業時間,稼働率,作業率,能率,段取・調整,黄箱品,60,
91931,4/1,成型01号,670B 3RD SIDE,"3,705","3,735",,18.00,6.00,,,0.28,1.00,,,23.00 ,22.72 ,95.83%,98.78%,164.4,,,1363,22.72
92721,4/1,成型02号,706D CTR,"2,078","2,544",,14.67,6.00,,,0.29,2.00,,,18.67 ,18.38 ,77.79%,98.45%,138.4,,,1103,18.38
91461,4/1,成型02号,400B CTR,789,208,,3.33,,0.83,,0.12,1.00,,,2.33 ,1.38 ,9.71%,59.23%,150.7,2,,83,1.38
91791,4/1,成型03号,GC7 CTR,"1,729","1,635",,18.00,1.00,1.83,,0.15,2.67,,,16.33 ,14.35 ,68.04%,87.88%,113.9,2,,861,14.35
91441,4/1,成型04号,400B FR,"1,928","2,163",,18.00,2.00,,,0.58,2.67,,,17.33 ,16.75 ,72.21%,96.65%,129.1,,,1005,16.75
92221,4/1,成型05号,900B FR,"2,524","2,524",,18.00,,,,0.48,2.67,,,15.33 ,14.85 ,63.88%,96.87%,170.0,,,891,14.85
91011,4/1,成型06号,HR3 JP,"2,450","1,558",11,18.00,6.00,,,2.29,2.00,3.83,,22.00 ,15.88 ,91.67%,72.18%,98.1,,,1062,17.70
92071,4/1,成型07号,030A SIDE,"1,912","1,742",3,18.00,,,,0.68,2.67,,1.00,14.33 ,13.65 ,59.71%,95.25%,127.6,,,819,13.65
92381,4/1,成型08号,5A45 X1,"1,086","1,322",2,18.00,6.00,,,1.52,3.00,0.83,,21.00 ,18.65 ,87.50%,88.81%,70.9,,,1119,18.65
92201,4/1,成型09号,970B 3RD,"1,148","1,366",5,18.00,2.58,,,0.48,2.67,,,17.91 ,17.43 ,74.63%,97.32%,78.4,,,1046,17.43
91321,4/1,成型10号,XC2A RR,274,445,,2.00,3.00,0.83,,0.21,0.33,,,4.67 ,3.63 ,19.46%,77.73%,122.6,,,218,3.63
92181,4/1,成型10号,050D CTR,"1,954","1,975",,16.00,,2.25,1.50,0.18,1.50,,,14.50 ,10.57 ,60.42%,72.90%,186.8,7,,634,10.57
92331,4/1,成型11号,960B RR,"3,378","3,081",5,18.00,6.00,,,1.13,0.67,,,23.33 ,22.20 ,97.21%,95.16%,138.8,,,1332,22.20
91911,4/1,成型12号,670B 2ND SIDE,"1,861","2,058",,18.00,,,,0.20,2.67,,,15.33 ,15.13 ,63.88%,98.70%,136.0,,,908,15.13
92021,4/1,成型13号,840B CTR,"2,283","2,182",34,18.00,6.00,,,0.55,2.00,,,22.00 ,21.45 ,91.67%,97.50%,101.7,,,1287,21.45
92691,4/1,成型14号,655D 3RD CTR,"1,346","1,315",,18.00,,,,0.03,2.50,,,15.50 ,15.47 ,64.58%,99.81%,85.0,,,928,15.47
92231,4/1,成型15号,900B RR,"2,953","3,025",,18.00,0.75,,,0.60,2.67,,,16.08 ,15.48 ,67.00%,96.27%,195.4,,,929,15.48
92511,4/1,成型16号,NB8 US,437,624,,2.00,3.25,,,0.42,0.33,,,4.92 ,4.50 ,20.50%,91.46%,138.7,,,270,4.50
92111,4/1,成型16号,990B RR,"1,702","1,358",,16.00,2.00,2.75,,0.50,0.33,,,17.67 ,14.42 ,73.63%,81.61%,94.2,7,,865,14.42
91441,4/1,成型17号,400B FR,"2,020","1,692",,16.00,,,,0.08,2.50,,1.00,12.50 ,12.42 ,52.08%,99.36%,136.2,,,745,12.42
91581,4/1,成型18号,D01L RR,,997,,8.50,,,,0.07,1.33,,,7.17 ,7.10 ,29.88%,99.02%,140.4,,,,
91681,4/1,成型18号,D54L RR,"2,684",904,,9.50,,0.67,,0.20,1.33,,,8.17 ,7.30 ,34.04%,89.35%,123.8,3,,864,14.40
91111,4/1,成型19号,TTA,"2,020","1,929",,18.00,,,,0.43,2.67,,1.00,14.33 ,13.90 ,59.71%,97.00%,138.8,,,834,13.90
92441,4/1,成型20号,310D CTR,"3,046","3,224",,18.00,6.00,,,0.41,1.67,,,22.33 ,21.92 ,93.04%,98.16%,147.1,,,1316,21.93
90351,4/1,成型21号,400A RR,"1,239","1,182",,18.00,,,,0.43,2.67,,1.00,14.33 ,13.90 ,59.71%,97.00%,85.0,,,834,13.90
92661,4/1,成型22号,CH2 RR,"2,127","2,243",,18.00,1.83,,,0.48,2.67,,1.00,16.16 ,15.68 ,67.33%,97.03%,143.0,,,941,15.68
92571,4/1,成型23号,P13C FR,"2,051","1,854",19,18.00,6.00,,,0.62,1.50,1.58,,22.50 ,20.30 ,93.75%,90.22%,91.3,5,,1218,20.30
